Team.Team_ID,Team.Team_Name,Team.Team_Abbreviation,Team.Manager_ID,Team.Year_Founded,Manager.Manager_ID,Manager.First_Name,Manager.Last_Name,Manager.Age,Player.Player_ID,Player.First_Name,Player.Last_Name,Player.Team_ID,Player.Age,Player.Shirt_Number
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,1,Florian,Wirtz,1,20,10
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,2,Jeremie,Frimpong,1,23,30
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,3,Exequiel,Palacios,1,25,25
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,4,Edmond,Tapsoba,1,25,12
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,5,Victor,Boniface,1,23,22
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,6,Alejandro,Grimaldo,1,28,20
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,7,Odilon,Kossounou,1,23,6
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,8,Piero,Hincapie,1,22,3
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,9,Jonathan,Tah,1,28,4
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,10,Amine,Adli,1,23,21
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,11,Nathan,Tella,1,24,19
1,Bayer Leverkusen,B04,1,1904,1,Xabi,Alonso,42,12,Patrik,Schick,1,28,14
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,13,Harry,Kane,2,30,9
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,14,Jamal,Musiala,2,21,42
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,15,Leroy,Sane,2,28,10
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,16,Joshua,Kimmich,2,29,6
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,17,Alphonso,Davies,2,23,19
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,18,Kingsley,Coman,2,27,11
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,19,Matthijs,De Ligt,2,24,4
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,20,Dayot,Upamecano,2,25,2
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,21,Min-jae,Kim,2,27,3
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,22,Mathys,Tel,2,18,39
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,23,Serge,Gnabry,2,28,7
2,Bayern Munich,BAY,2,1900,2,Thomas,Tuchel,50,24,Leon,Goretzka,2,29,8
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,25,Julian,Brandt,3,27,19
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,26,Gregor,Kobel,3,26,1
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,27,Donyell,Malen,3,25,21
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,28,Nico,Schlotterbeck,3,24,4
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,29,Youssoufa,Moukoko,3,19,18
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,30,Karim,Adeyemi,3,22,27
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,31,Jamie,Bynoe-Gittens,3,19,43
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,32,Jadon,Sancho,3,23,10
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,33,Felix,Nmecha,3,23,8
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,34,Niklas,Sule,3,28,25
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,35,Marcel,Sabitzer,3,29,20
3,Borussia Dortmund,DOR,3,1909,3,Edin,Terzic,41,36,Ian,Maatsen,3,22,22
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,37,Manu,Kone,4,22,17
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,38,Ko,Itakura,4,27,3
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,39,Nico,Elvedi,4,27,30
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,40,Maximilian,Wober,4,26,39
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,41,Franck,Honorat,4,27,9
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,42,Joe,Scally,4,21,29
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,43,Tomas,Cvancara,4,23,31
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,44,Julian,Weigl,4,28,8
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,45,Rocco,Reitz,4,21,27
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,46,Luca,Netz,4,20,20
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,47,Jonas,Omlin,4,30,1
4,Borussia Monchengladbach,BMG,4,1900,4,Gerardo,Seoane,45,48,Florian,Neuhaus,4,27,10
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,49,Dejan,Ljubicic,5,26,7
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,50,Jeff,Chabot,5,26,24
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,51,Eric,Martel,5,21,6
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,52,Timo,Hubers,5,27,4
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,53,Marvin,Schwabe,5,28,1
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,54,Jan,Thielmann,5,21,29
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,55,Linton,Maina,5,24,37
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,56,Florian,Kainz,5,31,11
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,57,Denis,Huseinbasic,5,22,8
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,58,Davie,Selke,5,29,27
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,59,Luca,Waldschmidt,5,27,9
5,1. FC Koln,CGN,5,1948,5,Timo,Schultz,46,60,Rasmus,Carstensen,5,23,18
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,61,Marvin,Mehlem,6,26,6
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,62,Christoph,Klarer,6,23,14
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,63,Matthias,Bader,6,26,26
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,64,Fabian,Nurnberger,6,24,15
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,65,Bartol,Franjic,6,24,28
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,66,Gerrit,Holtmann,6,28,25
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,67,Tim,Skarke,6,27,27
6,Darmstadt 98,DAR,6,1898,6,Torsten,Lieberknecht,50,68,Matej,Maglica,6,25,5
